side,entry_time,entry_price,exit_time,exit_price,bars_held,notional,gross_pnl,fee,net_pnl,return_pct,exit_reason,equity_after
-1,2022-04-25 00:23:00+00:00,39124.0872,2022-04-25 00:52:00+00:00,38991.46990427176,29,0.001301169534858372,4.410520406898793e-06,1.0409356278866976e-06,3.369584779012095e-06,0.3389658525457917,sl,9.011422043623689e-05
-1,2022-04-25 06:44:00+00:00,38815.818029999995,2022-04-25 06:44:00+00:00,38898.65323842645,0,0.0013517133065435534,-2.884634645437699e-06,1.0813706452348427e-06,-3.966005290672542e-06,-0.21340580369175743,sl,8.614821514556434e-05
1,2022-04-25 14:33:00+00:00,39385.63817,2022-04-25 14:39:00+00:00,39215.52308354967,6,0.001292223227183465,-5.58139149749459e-06,1.033778581746772e-06,-6.615170079241362e-06,-0.4319216200485587,sl,7.953304506632299e-05
1,2022-04-25 18:49:00+00:00,40133.0129,2022-04-25 18:59:00+00:00,39975.020686858035,10,0.0011929956759948448,-4.696483356205322e-06,9.543965407958758e-07,-5.6508798970011975e-06,-0.39367144833017953,sl,7.388216516932179e-05
1,2022-04-25 22:48:00+00:00,40571.956790000004,2022-04-25 22:48:00+00:00,40479.18357026508,0,0.001108232477539827,-2.534122169368031e-06,8.865859820318616e-07,-3.4207081513998925e-06,-0.22866340959376563,sl,7.04614570179219e-05
1,2022-04-26 11:24:00+00:00,40547.95439,2022-04-26 11:31:00+00:00,40466.55446456295,7,0.0010569218552688284,-2.1217682002939374e-06,8.455374842150627e-07,-2.967305684509e-06,-0.20074977063978539,sl,6.74941513334129e-05
-1,2022-04-26 14:02:00+00:00,39676.731929999994,2022-04-26 14:07:00+00:00,39805.5123072727,5,0.0010124122700011936,-3.2860275467317477e-06,8.099298160009549e-07,-4.0959573627327025e-06,-0.32457405388102156,sl,6.33981939706802e-05
-1,2022-04-26 20:15:00+00:00,37737.62586,2022-04-26 20:15:00+00:00,37953.0206800594,0,0.0009509729095602029,-5.427862354033273e-06,7.607783276481623e-07,-6.1886406816814355e-06,-0.5707693983147744,sl,5.720955328899876e-05
-1,2022-04-26 23:19:00+00:00,37787.120910000005,2022-04-26 23:20:00+00:00,37899.51905774813,1,0.0008581432993349814,-2.552555342267354e-06,6.865146394679851e-07,-3.2390699817353393e-06,-0.2974509437113193,sl,5.397048330726342e-05
1,2022-04-27 13:51:00+00:00,39440.34364,2022-04-27 13:56:00+00:00,39284.739325328475,5,0.0008095572496089513,-3.1939529270482164e-06,6.47645799687161e-07,-3.8415987267353775e-06,-0.39453082886862223,sl,5.012888458052804e-05
1,2022-04-28 01:07:00+00:00,39553.955,2022-04-28 01:16:00+00:00,39467.871855515215,9,0.0007519332687079206,-1.6364679641543118e-06,6.015466149663365e-07,-2.238014579120648e-06,-0.21763473332764294,sl,4.789087000140739e-05
1,2022-04-28 07:28:00+00:00,39509.85059,2022-04-28 07:33:00+00:00,39448.765978172494,5,0.0007183630500211109,-1.1106325993769025e-06,5.746904400168888e-07,-1.6853230393937914e-06,-0.15460603093996328,sl,4.62055469620136e-05
1,2022-04-28 12:33:00+00:00,39811.9808,2022-04-28 12:35:00+00:00,39700.17804951307,2,0.000693083204430204,-1.946364059624678e-06,5.544665635441633e-07,-2.5008306231688413e-06,-0.2808268974321515,sl,4.3704716338844755e-05
1,2022-04-28 15:07:00+00:00,40026.40224,2022-04-28 15:16:00+00:00,39799.32280639037,9,0.0006555707450826713,-3.7192109496078394e-06,5.244565960661371e-07,-4.2436675456739765e-06,-0.5673241183358213,sl,3.946104879317078e-05
